2023-11-02 12:28 before_fed Round:  13 | Epochs:  65 | Domain: c | loss: 0.2071 | acc: 93.67% | auc: 99.49%
2023-11-02 12:30 before_fed Round:  13 | Epochs:  65 | Domain: s | loss: 0.1746 | acc: 93.97% | auc: 99.75%
2023-11-02 12:32 after_fed Round:  13 | Epochs:  65 | Domain: a | loss: 0.5307 | acc: 83.65% | auc: 98.26%
2023-11-02 12:32 after_fed Round:  13 | Epochs:  65 | Domain: c | loss: 0.4267 | acc: 86.50% | auc: 98.96%
2023-11-02 12:32 after_fed Round:  13 | Epochs:  65 | Domain: s | loss: 0.2025 | acc: 90.95% | auc: 99.59%
2023-11-02 12:33 test_domain Round:  13 | Epochs:  65 | Domain: p | loss: 0.2465 | acc: 91.92% | auc: 99.52%
2023-11-02 12:34 before_fed Round:  14 | Epochs:  70 | Domain: a | loss: 0.2458 | acc: 92.79% | auc: 99.42%
2023-11-02 12:35 before_fed Round:  14 | Epochs:  70 | Domain: c | loss: 0.1952 | acc: 94.09% | auc: 99.54%
2023-11-02 12:37 before_fed Round:  14 | Epochs:  70 | Domain: s | loss: 0.1725 | acc: 92.96% | auc: 99.73%
2023-11-02 12:39 after_fed Round:  14 | Epochs:  70 | Domain: a | loss: 0.5116 | acc: 84.13% | auc: 98.33%
2023-11-02 12:39 after_fed Round:  14 | Epochs:  70 | Domain: c | loss: 0.4268 | acc: 86.50% | auc: 99.02%
2023-11-02 12:40 after_fed Round:  14 | Epochs:  70 | Domain: s | loss: 0.2106 | acc: 90.95% | auc: 99.57%
2023-11-02 12:40 test_domain Round:  14 | Epochs:  70 | Domain: p | loss: 0.2285 | acc: 92.51% | auc: 99.57%
2023-11-02 12:41 before_fed Round:  15 | Epochs:  75 | Domain: a | loss: 0.2461 | acc: 92.79% | auc: 99.46%
2023-11-02 12:43 before_fed Round:  15 | Epochs:  75 | Domain: c | loss: 0.2011 | acc: 94.09% | auc: 99.51%
2023-11-02 12:45 before_fed Round:  15 | Epochs:  75 | Domain: s | loss: 0.1703 | acc: 93.72% | auc: 99.75%
2023-11-02 12:46 after_fed Round:  15 | Epochs:  75 | Domain: a | loss: 0.5064 | acc: 84.62% | auc: 98.30%
2023-11-02 12:47 after_fed Round:  15 | Epochs:  75 | Domain: c | loss: 0.4472 | acc: 86.50% | auc: 99.00%
2023-11-02 12:47 after_fed Round:  15 | Epochs:  75 | Domain: s | loss: 0.2040 | acc: 90.95% | auc: 99.58%
2023-11-02 12:47 test_domain Round:  15 | Epochs:  75 | Domain: p | loss: 0.2309 | acc: 92.28% | auc: 99.56%
2023-11-02 12:48 before_fed Round:  16 | Epochs:  80 | Domain: a | loss: 0.2326 | acc: 92.79% | auc: 99.52%
2023-11-02 12:50 before_fed Round:  16 | Epochs:  80 | Domain: c | loss: 0.1892 | acc: 93.67% | auc: 99.55%
2023-11-02 12:52 before_fed Round:  16 | Epochs:  80 | Domain: s | loss: 0.1761 | acc: 94.22% | auc: 99.74%
2023-11-02 12:54 after_fed Round:  16 | Epochs:  80 | Domain: a | loss: 0.5130 | acc: 83.65% | auc: 98.31%
2023-11-02 12:54 after_fed Round:  16 | Epochs:  80 | Domain: c | loss: 0.3920 | acc: 87.34% | auc: 99.09%
2023-11-02 12:54 after_fed Round:  16 | Epochs:  80 | Domain: s | loss: 0.2126 | acc: 90.95% | auc: 99.56%
2023-11-02 12:54 test_domain Round:  16 | Epochs:  80 | Domain: p | loss: 0.2330 | acc: 92.57% | auc: 99.56%
2023-11-02 12:56 before_fed Round:  17 | Epochs:  85 | Domain: a | loss: 0.2454 | acc: 93.27% | auc: 99.45%
